FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
09012021     0  23.1   68  1012.3  110   31     AEROPARQUE AERO                                     
09012021     1  22.5   73  1011.5  110   39     AEROPARQUE AERO                                     
09012021     2  22.5   73  1013.4   90   19     AEROPARQUE AERO                                     
09012021     3  21.7   79  1014.0   50   19     AEROPARQUE AERO                                     
09012021     4  21.2   82  1013.8  360   20     AEROPARQUE AERO                                     
09012021     5  20.5   71  1013.2  360   19     AEROPARQUE AERO                                     
09012021     6  20.8   68  1012.4   20   20     AEROPARQUE AERO                                     
09012021     7  21.4   67  1012.2   70    9     AEROPARQUE AERO                                     
09012021     8  21.8   65  1013.1   70   11     AEROPARQUE AERO                                     
09012021     9  22.2   67  1013.2  360   11     AEROPARQUE AERO                                     
09012021    10  22.9   59  1013.5  360   13     AEROPARQUE AERO                                     
09012021    11  22.7   64  1013.6   20    9     AEROPARQUE AERO                                     
09012021    12  23.5   61  1013.5   20    7     AEROPARQUE AERO                                     
09012021    13  24.1   61  1012.7   50   13     AEROPARQUE AERO                                     
09012021    14  24.9   59  1012.3   50   15     AEROPARQUE AERO                                     
09012021    15  24.6   58  1011.4   70   15     AEROPARQUE AERO                                     
09012021    16  24.8   56  1010.9   70   20     AEROPARQUE AERO                                     
09012021    17  25.1   59  1010.5   90   19     AEROPARQUE AERO                                     
09012021    18  24.7   62  1010.0   90   22     AEROPARQUE AERO                                     
09012021    19  24.8   63  1009.9   90   22     AEROPARQUE AERO                                     
09012021    20  24.3   67  1010.1  110   20     AEROPARQUE AERO                                     
09012021    21  24.4   70  1010.5   90   20     AEROPARQUE AERO                                     
09012021    22  24.6   66  1011.2   90   20     AEROPARQUE AERO                                     
09012021    23  24.4   75  1011.7   90   22     AEROPARQUE AERO                                     
09012021     0  15.1   81  1013.1   50    9     AZUL AERO                                           
09012021     1  15.2   80  1013.4   50   11     AZUL AERO                                           
09012021     2  15.2   80  1012.8   70   13     AZUL AERO                                           
09012021     3  14.1   91  1012.4   50    6     AZUL AERO                                           
09012021     4  14.8   94  1013.0  340   11     AZUL AERO                                           
