OMM,OACI,SITE,LAT,LONG,ALT
89034,SAYB,BASE BELGRANO II,-77.8666666666667,-34.6333333333333,256
89053,SAYJ,BASE CARLINI (EX JUBANY),-62.2333333333333,-58.6666666666667,11
88963,SAYE,BASE ESPERANZA,-63.4,-57,24
89055,SAWB,BASE MARAMBIO,-64.2333333333333,-56.6333333333333,198
88968,SAYO,BASE ORCADAS,-60.7333333333333,-44.7333333333333,12
89066,SAYS,BASE SAN MARTIN,-68.1333333333333,-67.1,7
87641,SAZA,AZUL AERO,-36.8333333333333,-59.8833333333333,147
87750,SAZB,BAHIA BLANCA AERO,-38.7166666666667,-62.1666666666667,83
87649,SAZJ,BENITO JUAREZ AERO,-37.7,-59.7833333333333,207
87640,SAZI,BOLIVAR AERO,-36.1833333333333,-61.0666666666667,94
87570,SADO,CAMPO DE MAYO AERO,-34.5333333333333,-58.6833333333333,26
87683,SABP,CORONEL PRINGLES AERO,-38,-61.3333333333333,247
87637,SAZC,CORONEL SUAREZ AERO,-37.45,-61.8833333333333,233
87648,SAZD,DOLORES AERO,-36.3166666666667,-57.7166666666667,9
87571,SADP,EL PALOMAR AERO,-34.6,-58.6166666666667,12
87576,SAEZ,EZEIZA AERO,-34.8166666666667,-58.55,20
87548,SAAJ,JUNIN AERO,-34.55,-60.9333333333333,81
87593,SADL,LA PLATA AERO,-34.9666666666667,-57.9,23
87563,SAEL,LAS FLORES,-36.0333333333333,-59.1333333333333,36
87692,SAZM,MAR DEL PLATA AERO,-37.9333333333333,-57.5833333333333,21
87572,SADJ,MARIANO MORENO AERO,-34.55,-58.7833333333333,32
87573,SADR,MERLO AERO,-34.6833333333333,-58.75,36
87574,SADM,MORON AERO,-34.6666666666667,-58.6333333333333,24
87550,SAZX,NUEVE DE JULIO,-35.4333333333333,-60.8833333333333,76
87643,SAZF,OLAVARRIA AERO,-36.8833333333333,-60.2166666666667,166
87544,SAZP,PEHUAJO AERO,-35.8333333333333,-61.8666666666667,87
87679,SAZE,PIGUE AERO,-37.6,-62.3833333333333,304
87596,SAAI,PUNTA INDIO B.A.,-35.35,-57.3,22
87553,SADF,SAN FERNANDO AERO,-34.45,-58.5833333333333,5
87645,SAZT,TANDIL AERO,-37.2333333333333,-59.2333333333333,175
87540,SAET,TRENQUE LAUQUEN,-35.9666666666667,-62.7333333333333,95
87688,SAZH,TRES ARROYOS,-38.3666666666667,-60.2833333333333,115
87663,SAZV,VILLA GESELL AERO,-37.2333333333333,-57.0166666666667,9
87582,SABE,AEROPARQUE AERO,-34.5666666666667,-58.4166666666667,6
87585,SABA,BUENOS AIRES OBSERVATORIO,-34.5833333333333,-58.4833333333333,25
87222,SANC,CATAMARCA AERO,-28.6,-65.75,464
87211,SANI,TINOGASTA,-28.0666666666667,-67.5666666666667,1201
87148,SARS,PRESIDENCIA ROQUE SAENZ PEÑA,-26.75,-60.4833333333333,93
87155,SARE,RESISTENCIA AERO,-27.4333333333333,-59.05,52
87860,SAVC,COMODORO RIVADAVIA AERO,-45.8,-67.4666666666667,46
87803,SAVE,ESQUEL AERO,-42.9,-71.15,797
87814,SAVP,PASO DE INDIOS,-43.7,-69.05,460
87823,SAVY,PUERTO MADRYN AERO,-42.75,-65.1,136
